Question,A,B,C,D
Đâu là vấn đề trong xử lý ảnh mà CNN giải quyết tốt hơn so với các mạng nơ-ron truyền thống?,Lưu trữ tham số,Xử lý dữ liệu hai chiều,Thời gian tính toán,Cả ba vấn đề đã nêu
Pooling layer được thiết kế để?,"Giảm kích thước dữ liệu, bất luận mất mát thông tin",Giảm chiều nhưng vẫn giữ lại thông tin,Tăng kích thước dữ liệu,Sinh ra giá trị trung gian dựa trên một vùng của dữ liệu
Pooling layer của VGG16 có kích thước ra sao và hàm pool là?,"2 x 2, avg","3 x 3, max","2 x 2, max","3 x 3, avg"
Tổng quát một CNN sẽ gồm hai phần chính nào sau đây?,Các lớp tích chập và các lớp truyền thống,Các kernel tích chập và hàm pool,Các lớp tích chập giảm kích thước và các lớp tích chập tăng kích thước,Các thông số padding và stride
"Kết quả average pooling của hình vuông gồm 4 giá trị 15, 20, 30, 45 là?",30,27.5,25,32.5
"Theo tài liệu Public_045, điểm chung của Transfer learning và data augmentation là gì?",Tận dụng mô hình có sẵn,Áp dụng cho tình trạng khan hiếm dữ liệu,Chi phí đắt đỏ,"Không có điểm chung, là hai phương án độc lập rời rạc"
"Theo tài liệu Public_045, đâu không phải là một hình thức data augmentation cho ảnh?",Cắt và phóng to (crop and resize),Lật ảnh (flip),Xoay ảnh (rotate),Chuyển ảnh xám
"Theo tài liệu Public_045, khi tiến hành phân lớp với nhiều hơn hai lớp, có bao nhiêu chiến lược tiếp cận? Hình thức của chúng là gì?",Hai. Một model phân M lớp và M model phân biệt từng lớp,Một. Một model phân M lớp,Một. M model phân biệt từng lớp,Không thể tiến hành
"Trường hợp nào sau đây được đề xuất sử dụng Finetuning hơn là Feature extractor?
I. Dữ liệu lớn, khác dữ liệu pretrain
II. Dữ liệu nhỏ, khác dữ liệu pretrain
III. Dữ liệu nhỏ, giống dữ liệu pretrain
IV. Dữ liệu lớn, giống dữ liệu pretrain",I,II và III,I và IV,IV
"Theo tài liệu Public_045, đâu không phải là khẳng định đúng giữa Finetuning và Feature extractor?",Finetuning hiệu quả thấp hơn feature extractor,Finetuning chỉ phù hợp khi có bộ dữ liệu đủ lớn,Feature extractor phù hợp khi dữ liệu thích nghi tương đối giống với dữ liệu của mô hình pretrained,Finetuning cần nhiều tài nguyên để tiến hành hơn so với feature extractor
Lợi ích chính của vectorization là gì,Tiết kiệm thời gian,Tiết kiệm bộ nhớ,Giảm overfitting,Giảm underfitting
"Theo tài liệu Public_046, giá trị p trong dropout thể hiện điều gì?",Tỉ lệ giữ node của layer,Xác suất giữ một layer,Tỉ lệ bỏ node của layer,Xác suất bỏ một layer
"Theo tài liệu Public_046, khái niệm tiếng Việt cho bias và variance là gì?","Phương sai, độ lệch chuẩn","Độ lệch, độ lệch chuẩn","Độ lệch, phương sai","Độ lệch chuẩn, phương sai"
Đâu là mục tiêu chính của các phương pháp trong tài liệu Public_046?,Tăng thời gian chạy,Tránh các hiện tượng như overfitting và underfitting,Tăng khả năng khái quát hóa của mô hình,Cả ba mục tiêu
Một thuật toán gradient descent lấy ra 32 dữ liệu điểm mỗi lần tính đạo hàm thì thuộc loại gradient descent nào?,Batch GD,Mini-batch GD,Stochastic GD,Không phải loại GD nào nêu trên
Input của bài toán object detection là?,Âm thanh,Hình ảnh,Văn bản,Hỗn hợp
Vấn đề chính của R-CNN là?,Thời gian infer lâu,Thời gian train lâu,Cả hai vấn đề đã nêu,Không phải hai vấn đề đã nêu
IoU phụ thuộc vào hai toán tử tập hợp nào và công thức là gì?,Intersection và Union. I/U,Intersection và Negation. I/(I + N),Negation và Union. (U + N)/N,Intersection và Union. U/(U + I)
Các nguyên tắc cốt lõi và thành phần chính của các cách tiếp cận object detection là gì?,Hồi quy,Region proposal,Phân cụm,Phân lớp
"Trong ROI pooling, để tạo ra output có kích thước 4x4, mỗi vùng quan tâm (ROI) được chia thành bao nhiêu phân vùng con để thực hiện pooling?",1,2,3,4
Bộ dữ liệu được sử dụng trong tài liệu Public_048 có bao nhiêu ảnh?,1750,1024,2048,3500
Mô hình được sử dụng để huấn luyện trong tài liệu Public_048 là gì?,YOLOv5,YOLOv4,YOLO-TinyV5,YOLO-Tinyv4
"Trong tài liệu Public_048, có bao nhiêu phương pháp tăng cường dữ liệu đã được dùng và gồm những thao tác nào?","Hai. Thu nhỏ, phóng to","Ba. Thu phóng, tăng sáng, xoay","Hai. Thêm nhiễu, tăng sáng",Một. Lật
Cách tiếp cận đã nêu trong tài liệu Public_048 có tiến hành đọc biển số hay không?,Không,Có,,
Phân loại của bài toán được mô tả trong tài liệu Public_048 là gì?,Image segmentation,Object segmentation,Object detection,Image classification
"Theo tài liệu Public_049, khái niệm được dùng để đại diện tập xác định của một biến là gì?",Kiểu dữ liệu,Tên dữ liệu,Loại dữ liệu,Lớp dữ liệu
"Theo tài liệu Public_049, thành phần nào không thuộc phạm vi quản lý của biến?",Kiểu dữ liệu,Tên biến,Giá trị biến,Địa chỉ lưu biến
Tên kiểu dữ liệu của ký tự ASCII và ký tự Unicode lần lượt là?,char và wchar,char_t và wchar_t,char và wchar_t,char_t và wchar
Đâu không phải khẳng định đúng về các đặc tính của thuật toán được đề cập trong tài liệu Public_049?,"Thuật toán phải rõ ràng, không nhập nhằng",Thuật toán không được chạy vô hạn,"Thuật toán phải được thiết kế đặc thù, chuyên sâu thay vì tổng quát","Thuật toán nên dễ hiểu, dễ cài đặt"
Phương trình toán học 3x + 4y + 5z = 6 có mấy biến?,Ba,Hai,Một,Bốn
"Dựa vào tài liệu Public_050, từ nào điền vào chỗ trống sau: nếu hàm số f(x) bị ... bởi hằng số C nhân với g(x), ta nói f(x) có độ phức tạp O(g(x))?",Chặn dưới ,Chặn trên,Chặn trên và dưới,Lớn hơn
"Theo nguyên tắc tổng, f1(x) + f2(x) có độ phức tạp là?","O(max(g1(x), g2(x))","O(min(g1(x), g2(x))",O(g1(x) + g2(x)),O(|g1(x) - g2(x)|)
Độ phức tạp tuyến tính và giai thừa lần lượt có ký hiệu là?,O(1) và O(n),O(logn) và O(n!),O(n) và O(n!),O(1) và O(logn)
"Theo tài liệu Public_050, bước đầu tiên của quá trình tiếp cận bài toán là gì?",Tìm cấu trúc dữ liệu phù hợp,Lựa chọn thuật toán,Xác định yêu cầu bài toán ,Xác định ngôn ngữ và trình dịch
Hai thuật toán được tiến hành kế tiếp nhau lần lượt có độ phức tạp O(n) và O(n^2). Độ phức tạp của chương trình là?,O(n),O(n^2),O(n^2 + n),O(n x n^2)
"Dựa trên tài liệu Public_051, khái niệm nào không thuộc về thuật toán sinh?",Cấu hình khởi đầu,Cấu hình kết thúc,Thuật toán chuyển cấu hình tất định,Cấu hình tối ưu
Nội dung của tài liệu Public_051 không bao gồm bài toán nào?,Bài toán liệt kê,Bài toán đếm,Bài toán tồn tại,Bài toán đặc thù
Số hoán vị của N phần tử phân biệt là bao nhiêu và giá trị tương ứng khi N = 3 là?,"N!, 6","N^N, 27","N^2, 9","N, 3"
Đâu là cốt lõi của thuật toán đệ quy?,Bài toán lớn được chia thành các bài toán nhỏ lồng nhau,Bài toán lớn có lời giải đóng,Bài toán lớn được chia thành các bài toán nhỏ có cùng dạng,Bài toán không thể giải trong thời gian đa thức
"Bài toán liệt kê xâu nhị phân độ dài 6 phải trải qua bao nhiêu cấu hình, nếu biết số cấu hình cho độ dài n là 2^n?",2^5,2^6,2^7,2^12
Đâu không phải một ví dụ duyệt được thực hiện bởi quay lui?,Duyệt xâu nhị phân,Duyệt tập con,Duyệt hoán vị,Duyệt từ đầu đến cuối mảng
"Trong bài toán N quân hậu, quân hậu ở hàng thứ i phải thỏa mãn điều gì?",Không trùng cột với các quân hậu còn lại,Không cùng đường chéo xuôi với các quân hậu còn lại,Không cùng đường chéo ngược với các quân hậu còn lại,Cả ba tiêu chí trên
"Theo tài liệu Public_052, tên của thủ tục tiền xử lý và thủ tục chạy quay lui được gọi trong hàm main() lần lượt là gì?",Prep() và Run(1),Init() và Run(1),Init() và Try(1),Prep() và Try(1)
"Theo tài liệu Public_052, đâu không phải một bước trong quay lui?",Bước 1,Bước 2,Bước 3,Bước 1 và 3
"Làm thế nào để áp dụng thuật toán quay lui để duyệt hoặc sinh ra một số tập con K phần tử cụ thể, thay vì duyệt toàn bộ các tập con K phần tử?",Không,Có,Tùy tình huống,
Những điều kiện tiên quyết nào áp dụng cho việc sắp xếp dữ liệu?,Trật tự của đối tượng,Đối tượng phải là số,Số lượng đối tượng nhỏ,Cấu hình máy mạnh
Vai trò của sắp xếp đối với hiệu quả của quá trình tìm kiếm dữ liệu là gì?,Không,Có,,
Cho biết số lượng thuật toán sắp xếp đơn giản được trình bày trong tài liệu Public_053 và tên của chúng?,"Ba. Selection sort, insertion sort, bubble sort","Hai. Quick sort, merge sort","Hai. Selection sort, insertion sort","Ba. Insertion sort, bubble sort, radix sort"
Độ phức tạp nhỏ nhất của Insertion Sort là?,O(N^2),O(N),O(NlogN),O(sqrt(N))
Vì sao Selection Sort có độ phức tạp O(N^2),Vì thuật toán chạy nhiều hơn một vòng for,Vì thuật toán chạy hai vòng for lồng nhau,Vì thuật toán có hai vòng for tuyến tính lồng nhau,Vì người đề xuất phát biểu vậy
"Theo tài liệu Public_054, hành động chính của Bubble Sort là gì?",Tráo đổi đầu và cuối,Tráo đổi hai phần tử kề nhau,Tráo đổi từ giữa mảng ra,Tráo đổi min và max
Đâu không phải một cách chọn khóa (pivot) điển hình trong Quick Sort,Dùng phần tử đầu,Dùng phần tử thứ ba,Dùng phần tử giữa,Dùng phần tử cuối
"Trong heap, chỉ số node con trái và phải của node x lần lượt là? (node gốc có chỉ số 0)","2i, 2i + 1","2i, 2i + 2","2i + 1, 2i + 2","2i, 3i"
Đâu là cấu trúc heap ta nên dùng nếu muốn sắp xếp mảng giảm dần?,Min-heap,Max-heap,Avg-heap,Mean-heap
Đâu là điểm chung giữa Merge Sort và Quick Sort? Chọn một đáp án,Độ phức tạp trung bình O(N^2),"Ở mỗi bước chia nhỏ, luôn đảm bảo hai mảng con cùng độ dài",Sử dụng tư tưởng chia để trị,Đều là các thuật toán sắp xếp ổn định (bảo toàn thứ tự xuất hiện các phần tử bằng nhau)
Đâu không phải thuật toán tìm kiếm được nêu trong tài liệu?,Tìm kiếm tuyến tính,Tìm kiếm nhị phân,Tìm kiếm heurestic,Tìm kiếm nội suy
"Theo tài liệu Public_055, thuật toán đơn giản nhất trong bốn thuật toán được trình bày là gì?",Tìm kiếm nhị phân,Tìm kiếm nội suy,Tìm kiếm Jumping,Tìm kiếm tuyến tính
"Trong ngữ cảnh của tài liệu Public_055, kết quả trả về cụ thể (ví dụ: mã trạng thái, cấu trúc dữ liệu, giá trị) khi tìm kiếm 'thấy' và 'không thấy' một mục lần lượt là gì?",1 và 0,1 và -1,Chỉ số phần tử cần tìm và -1,Chỉ số phần tử cần tìm và 0
Nhận định nào sau đây không đúng dựa trên nội dung của tài liệu Public_055?,Tìm kiếm Jumping rồi sẽ quay về tìm kiếm tuyến tính ở một bước nào đó,Tìm kiếm nội suy không hề giống tìm kiếm nhị phân,Tìm kiếm nhị phân tiến hành giảm kích thước khoảng đang tìm đi một nửa sau mỗi bước,Tìm kiếm tuyến tính là thuật toán tổng quát nhất
"Dựa trên thông tin trong tài liệu Public_055 về tìm kiếm nhị phân hoàn thành trong logN bước, cho biết mảng đã sắp xếp gồm 2^8 phần tử sẽ cần bao nhiêu bước?",8,7,9,6
"Theo tài liệu Public_056, thao tác nào dưới đây không được liệt kê là một thao tác cơ bản trên linked list?",Đảo node,Duyệt node,Nhân đôi node,Loại node
Một node của danh sách liên kết đơn có mấy trường?,Hai,Ba,Bốn,Một
Tên của thao tác cập nhật và tìm kiếm một node trong cấu trúc dữ liệu lần lượt là gì?,Find và update,Search và display,Find và display,Search và update
Đâu không phải là đặc điểm của linked list?,"Tại một phần tử, có thể chuyển đến phần tử trước nó",Một phần tử có hai trường: thông tin và con trỏ đến phần tử kế tiếp,Giải quyết bất cập về việc cấp phát bộ nhớ của mảng (array),Là một kiểu dữ liệu trừu tượng (ADT - abstract data type)
"Muốn cập nhật trong linked list phần tử thứ 5 với giá trị 7, ta cần nhập vào khi gọi update() thứ tự giá trị nào cho pos và val?",4 7,5 7,7 5,7 4
"Theo tài liệu Public_057, đâu không phải là một loại đồ thị được phân loại ở cấp dưới trong hệ thống phân loại đồ thị của tài liệu?",Đơn đồ thị,Đa đồ thị,Lưỡng đồ thị,Giả đồ thị (pseudograph)
Đồ thị được tạo thành bằng cách bổ sung một đỉnh nối với mọi đỉnh của đồ thị C_n được ký hiệu là?,W_n,K_n,S_n,C'_n
Tên gọi riêng cho đỉnh bậc 0 và đỉnh bậc 1 trong đồ thị vô hướng là?,"Đỉnh cô đơn, đỉnh lẻ","Đỉnh cô lập, đỉnh treo","Đỉnh cô đơn, đỉnh treo","Đỉnh cô lập, đỉnh lẻ"
Tài liệu Public_057 mô tả những cách biểu diễn đồ thị nào?,Ma trận kề,Danh sách đỉnh,Danh sách cạnh,Danh sách kề
"Theo tài liệu `Public_057`, đồ thị bánh xe có bao nhiêu cạnh?",2n - 1,n^2,2n,n^2 + 1
"Theo tài liệu Public_058, đâu là một tên gọi khác của kiểm thử chức năng?",Kiểm thử hộp màu,Kiểm thử hộp đen,Kiểm thử hộp trắng,Kiểm thử hộp xám
Tập S biểu diễn các mẫu hành vi hoặc đặc tính động lực học như thế nào?,Được nêu trong đặc tả,Được bao hàm trong mã nguồn,Được đem ra kiểm nghiệm,Mọi hành vi có thể
"Trong tài liệu Public_058, các hành vi ""được đặc tả"" và ""được kiểm thử"" được định nghĩa thuộc tập nào?",T và T,P và S,T và P,S và T
"So sánh kiểm thử hộp trắng và kiểm thử hộp đen, phương pháp nào ưu việt hơn?",Kiểm thử hộp trắng,Kiểm thử hộp đen,Không phương pháp nào ưu việt hơn,
"Theo tài liệu Public_058, theo mô hình biểu đồ Venn, thiết kế kiểm chứng nên rơi vào miền nào nhiều nhất?",Miền 1,Miền 4,Miền 3,Miền 7
"Theo tài liệu Public_059, kiểm thử tích hợp tập trung vào vấn đề gì?",Hoạt động của một module,Hoạt động tương hỗ giữa các module,Hoạt động theo đặc tả,Hoạt động theo yêu cầu người dùng
"Theo tài liệu Public_059, đâu không phải là một hình thức giao diện giữa nhiều module?",Module A gọi hàm ở module B,Module A nằm trong module B,Module A gửi thông tin cho module B,Module A dùng chung bộ nhớ với module B
"Ngoài hai cách ghép module thông dụng là top down, bottom up thì còn mấy phương pháp và tên của chúng là?","Ba. Leftward, upward, waterfall",Một. Bigbang,"Hai. Bigbang, sandwich",Không còn phương pháp nào
Nội dung nào không được đề cập trong tài liệu Public_059?,Khái niệm kiểm thử tích hợp,Hình thức kiểm thử tích hợp theo cấu trúc module,Các loại giao diện giữa các module,So sánh kiểm thử tích hợp với kiểm thử hồi quy
Đoạn code ngắn sau định nghĩa giao diện hàm (function interface) như thế nào?,Procedure call,Shared memory,Message passing,Inheritance
Chương Public_060 sẽ đi qua bao nhiêu ví dụ?,Một,Hai,Ba,Bốn
"Có tất cả bao nhiêu cách để đi đến nút ""Not A Triangle"" trong bài toán Tam giác, theo tài liệu?",Bảy,Sáu,Năm,Tám
"Trong bài toán Ngày kế tiếp, sự phân bố của những loại thực thể nào thường gây ra vấn đề, và liệu việc xác định một thực thể có phụ thuộc vào các thực thể khác không?",Ngày 31. Có,Tháng nhuận âm lịch. Có,Năm nhuận. Không,Ngày 30. Không
"Theo tài liệu Public_060, đâu không phải một yếu tố khiến bài toán Tam giác được đề cập trong đó trở nên phổ biến?","Hệ thống đặc tả đầy đủ đơn giản, dễ liệt kê",Hàm ý yêu cầu nghiêm ngặt về bảo toàn đặc tả,"Hàm ý người kiểm thử cần đặt ra những trường hợp ""không tầm thường"" (ví dụ input không hợp lệ phải trả về kết quả gì)","Cài đặt dài dòng, rất nhiều if else"
"Kết quả kiểm tra xem bộ ba số (3, 4, 5) có tạo thành tam giác vuông hay không?",Equilateral,Isosceles,Scalene,Not A Triangle
Người kiểm thử cần quan tâm điều gì liên quan đến đặc tả được đề cập trong tài liệu Public_061?,"Người thiết lập đặc tả (người thiết kế, lập trình viên)",Cách viết đặc tả,Ngôn ngữ đặc tả,Văn phong đặc tả
Đâu không phải nguyên tắc cốt lõi của khảo sát đặc tả mức cao theo tài liệu Public_061?,"""Hãy là khách hàng của sản phẩm""","""Hãy nghiên cứu các chuẩn và hướng dẫn hiện hành""","""Hãy xem xét và kiểm thử các phần mềm tương tự""","""Hãy phối hợp với đội nhóm và khách hàng"""
"Mục đích của từ ""luôn luôn"" và ""nào đó"", theo danh sách thẩm định thuật ngữ trong tài liệu Public_061, là hàm ý tính không mơ hồ và tính kiểm chứng của đặc tả?","Tính nhập nhằng, tính thiếu định lượng","Tính tuyệt đối, tính thuyết phục","Tính tuyệt đối, tính nhập nhằng","Tính thuyết phục, tính nhập nhằng"
Nhận định nào là chính xác về việc kiểm thử đặc tả mức thấp? Chọn hai nhận định,Nghiên cứu những đặc tả được đề ra ở mức chung nhất,Phân tích các thuật ngữ được nêu trong đặc tả,Kiểm tra các thuộc tính của các đặc tả,Đảm bảo đặc tả tuân theo các tiêu chuẩn pháp lý
Đâu không phải một thuật ngữ nhập nhằng trong đặc tả?,Nào đó,Đôi khi,Chẳng hạn,Đa số
Giả định cơ bản nào được áp dụng trong kiểm thử giá trị biên?,Hàm kiểm thử phải là hàm toán học (song ánh),Tập xác định phải là tập số tự nhiên,Tập xác định/tập giá trị có biên/khu cận biên,Không cần giả định gì
Kiểm thử giá trị biên tổ hợp có công thức số ca kiểm thử là hàm số như nào?,Tuyến tính,Bình phương,Bậc ba,Hàm số mũ
Ký hiệu của cận biên max và cận biên min theo tài liệu Public_062 là gì?,max+ và min-,max- và min+,maxx và minn,Maxx và Minn
"Trong kiểm thử giá trị biên, thông thường có bao nhiêu giá trị kiểm thử cụ thể được lựa chọn xung quanh mỗi giới hạn?",Bốn,Hai,Sáu,Tám
"Giả sử một hàm ba biến f(x1, x2, x3) được đem ra kiểm thử giá trị biên, hỏi một ca kiểm thử gốc sẽ cho ra bao nhiêu ca kiểm thử dẫn xuất?",4,8,12,16
Bảng quyết định gồm hai yếu tố chính có tên là?,Điều kiện và hành động,Trạng thái trước và trạng thái sau,Input và output,Nguyên nhân và hệ quả
"Theo tài liệu Public_063, giá trị điều kiện chỉ bó buộc trong T/F, nhận định này đúng hay sai?",Đúng,Sai,,
"Trong một hệ thống ký hiệu quy trình hoặc trạng thái, ký hiệu cho điều kiện kích hoạt và hành động thực thi lần lượt là gì?",T và X,X và T,F và X,X và F
Tiền đề để sử dụng dấu gạch nối (-) trong văn bản kỹ thuật?,Có ít nhất một điều kiện đúng,Có quá nửa điều kiện đúng,Có ít nhất một điều kiện sai,Có quá nửa điều kiện sai
"Đâu là tổ hợp biểu diễn một quy tắc có trạng thái điều kiện lần lượt là (đúng, đúng, tùy ý, sai)?","T, T, F, -","T, T, -, F","F, F, T, -","F, F, -, T"
"Theo tài liệu Public_064, yếu tố quan trọng nhất của kiểm thử hộp trắng là gì?",Mã nguồn,Trình biên dịch,Ngôn ngữ,Giao diện
Dòng điều khiển được mô hình hóa bằng các phương pháp hoặc mô hình cụ thể nào?,Đồ thị vô hướng,Đồ thị có hướng,Đồ thị cây,Automaton tất định
"Trong tài liệu Public_064, có bao nhiêu độ đo được quyết định chỉ dựa trên câu lệnh rẽ nhánh; đó là những độ đo nào?",Hai. C1 và C2,Hai. C2 và C3,Hai. C3 và C1,"Ba. C1, C2 và C3"
"Theo tài liệu Public_064, có tất cả bao nhiêu độ đo kiểm thử?",Một,Bốn,Ba,Sáu
"Xét hàm sau:
if (a == 0) return 0;
if (a == b) return 1;
return 2;
Cần bao nhiêu ca kiểm thử để đảm bảo 100% độ phủ cho độ đo C1?",Ba,Hai,Bốn,Năm
Đâu không phải một yếu tố giúp xác định lát cắt được đề cập trong tài liệu Public_065?,Chương trình P,Tập biến V,Thời điểm n,Hằng X
"Trong tài liệu Public_065, bối cảnh ""các đoạn câu lệnh"" hàm ý gì?",Có thể tách đoạn câu lệnh thành các câu lệnh theo thứ tự,Một nhóm câu lẹnh không thể tách rời,Một tổ hợp câu lệnh có ý nghĩa,Một nhóm câu lệnh có thể tách rời tùy ý
"Trong xây dựng lát cắt, câu lệnh dạng I-def và I-use đối với biến v sẽ được xử lý như nào? (Trả lời đúng thứ tự)",Đều loại bỏ,Thêm vào và loại bỏ,Loại bỏ và thêm vào,Đều thêm vào
Hình thức sử dụng biến nào không bao giờ nằm trong lát cắt của biến đó?,P-use,O-use,C-use,A-def
Câu lệnh `int temp = 31415;` thuộc loại khai báo và khởi tạo biến nào?,I-def,A-def,C-use,O-use
Mục tiêu của mô hình trong kiểm thử dựa trên mô hình?,Tạo ca kiểm thử,Chạy ca kiểm thử,Đánh giá ca kiểm thử,Cả ba công việc trên
Đâu không phải một cách biểu diễn một mô hình máy học?,Máy hữu hạn trạng thái (FSM),Automaton tất định hữu hạn trạng thái (DFA),Máy UML,Ngôn ngữ thường nhật
FSM và DFA được biểu diễn bằng bộ mấy thành phần?,Bốn,Bốn và năm,Năm,Năm và bốn
"Thứ tự của quy trình kiểm tra mô hình? Sắp xếp các bước sau.
1. Sử dụng mô hình tạo ca kiểm thử
2. Chạy kịch bản kiểm thử
3. Đối chiếu kết quả kiểm thử
4. Đánh giá và phản hồi",2-1-3-4,1-2-3-4,2-3-4-1,4-1-2-3
Điểm nào dưới đây là điểm chung cho hầu hết các hình thức biểu diễn mô hình dữ liệu?,Các hình thức dùng đồ thị luôn cho ra một đồ thị có hướng không chu trình (DAG),"Các hình thức luôn rất phức tạp, loằng ngoằng",Được biểu diễn xoay quanh phép logic kéo theo và hệ thống biến - chuyển,Không có điểm chung nào thống nhất các hình thức
Đâu là nhân tố đóng góp vào việc phát triển kiểm thử tự động,Kiểm thử được thực hiện thủ công,Yếu tố cạnh tranh trên thị trường,"Kiểm thử thủ công hao tốn tài lực, vật lực",Cả ba nhân tố đã nêu
Lý do nào không phải thách thức dẫn đến việc đầu tư cao độ vào phát triển công cụ tìm lỗi và kiểm thử tự động?,Công cụ có sẵn chỉ tự động thực thi,Công cụ chưa hỗ trợ kiểm thử hồi quy,Chất lượng sản phẩm phần mềm nghèo nàn,Việc sinh cặp kịch bản kiểm thử và đầu ra kỳ vọng gặp khó khăn
Có bao nhiêu bước phân tích trong quy trình được mô tả trong tài liệu Public_067 và tên của chúng là gì?,Hai. Phân tích tĩnh và phân tích động,"Ba. Phân tích tĩnh, phân tích độ phủ và phân tích động",Hai. Phân tích độ phủ và phân tích động,Hai. Phân tích độ phủ và phân tích tĩnh
"Theo tài liệu Public_067, kiến trúc kiểm thử tự động bao gồm những yếu tố nào?","Thiết kế (sinh kịch bản, sinh đầu ra mong muốn)","Thực thi (quản lý, mô phỏng)","Đánh giá (so sánh, báo cáo, phân tích)",Toàn bộ những yếu tố đã nêu
"Trong kiểm thử dựa trên mô hình, những hoạt động nào không được tự động tạo ra từ mô hình mà do con người thực hiện?",Sinh các ca kiểm thử,Chương trình cần kiểm thử,Sinh đầu ra mong muốn,So sánh kết quả kiểm thử
"Trong giai đoạn tiền xử lý dữ liệu hình ảnh cho hệ thống thị giác máy tính, kỹ thuật nào giúp giảm nhiễu và tăng độ tương phản?",Resize ảnh,Oversampling,Histogram equalization,Tăng batch size
Mục tiêu chính của việc chia tập dữ liệu theo tỉ lệ 70/15/15 trong huấn luyện mô hình là gì?,Giảm chi phí lưu trữ dữ liệu,"Đảm bảo có tập huấn luyện, kiểm định và kiểm tra cân bằng",Tăng tốc độ suy luận,Tự động hóa quá trình gắn nhãn
"Hãy phân tích các bước then chốt trong toàn bộ vòng đời hệ thống thị giác máy tính công nghiệp, từ thu thập dữ liệu hình ảnh đến triển khai và bảo trì, đồng thời nêu rõ vai trò của chuẩn hóa định dạng dữ liệu và kỹ thuật Edge Computing.","Các bước: thu thập dữ liệu đa nguồn, tiền xử lý (cân bằng, loại nhiễu, chuẩn kích thước), xây dựng & huấn luyện mô hình, triển khai (API, PLC/SCADA, edge), giám sát & cập nhật; chuẩn hóa định dạng đảm bảo tính nhất quán cho huấn luyện; Edge Computing giảm độ trễ và tiết kiệm băng thông.","Tập trung hoàn toàn vào huấn luyện mô hình, chuẩn hóa định dạng chỉ để dễ xem ảnh; Edge Computing chủ yếu để lưu trữ dữ liệu lâu dài.","Chỉ cần tiền xử lý và huấn luyện, không cần triển khai thực tế; Edge Computing chủ yếu thay cho cloud để tiết kiệm chi phí.","Các bước: thu thập, tiền xử lý, huấn luyện; chuẩn hóa định dạng nhằm nén ảnh; Edge Computing để mở rộng kích thước mô hình. TD068"
Kiến trúc tổng thể của giải pháp thị giác máy tính công nghiệp gồm những giai đoạn chính nào?,Thu thập & tiền xử lý dữ liệu → Xây dựng & huấn luyện mô hình → Triển khai & giám sát hệ thống,Chỉ huấn luyện mô hình rồi đưa vào sản xuất,Chỉ triển khai và giám sát,Thu thập dữ liệu → Chạy inference
"Nếu môi trường sản xuất thay đổi ánh sáng thường xuyên nhưng không cập nhật mô hình, hậu quả nào dưới đây có khả năng xảy ra nhất?",Mô hình tự động thích nghi và chính xác hơn,Độ chính xác giảm do drift dữ liệu,Tốc độ xử lý tăng vì ít dữ liệu cần phân tích,Hệ thống sẽ tự động bật chế độ bảo trì mà không cần giám sát
"Theo tài liệu Public_069, những đặc điểm quan trọng nào của dữ liệu chuỗi thời gian cần được xem xét trong việc dự báo?",Có nhiều biến phân loại,Được thu thập từ nhiều nguồn không đồng bộ,Tính phụ thuộc thời gian — giá trị hiện tại phụ thuộc vào giá trị trước đó,Được lưu trữ ở định dạng cột
"Khi thu thập dữ liệu với tần suất cao (high-frequency), thách thức lớn nhất thường là gì?",Thiếu metadata,Lưu lượng/ dung lượng lưu trữ và xử lý dữ liệu lớn,Tính xu hướng không rõ ràng,Dữ liệu ít có biến động bất thường
"Trình bày quy trình tổng thể để xây dựng hệ thống quản lý dữ liệu chuỗi thời gian từ khâu xác định nguồn, thu thập, tiền xử lý đến lưu trữ và mở rộng; đồng thời giải thích tầm quan trọng của đồng bộ NTP và chiến lược partitioning.","Quy trình: xác định nguồn (cảm biến, log), đảm bảo timestamp chuẩn NTP, thu thập qua MQTT/gateway, làm sạch & nội suy, chuẩn hóa đơn vị, tạo đặc trưng, lưu TSDB (Influx/Timescale), thiết lập TTL & partitioning, giám sát Prometheus/Grafana, mở rộng bằng microservices & Kubernetes; đồng bộ NTP giữ tính chính xác thời gian; partitioning tăng tốc truy vấn và quản lý dữ liệu lớn.","Chỉ cần xác định nguồn và thu thập, có thể bỏ qua NTP; partitioning chủ yếu để sao lưu.","Quy trình: thu thập và lưu trực tiếp; NTP chỉ dùng cho đồng hồ cảm biến, partitioning không ảnh hưởng hiệu năng.","Hệ thống chỉ cần TSDB và giám sát, bỏ qua các bước tiền xử lý và đồng bộ thời gian. TD069"
"Theo tài liệu Public_069, chuỗi thời gian được lưu trữ hiệu quả thường sử dụng hệ thống hoặc định dạng nào?",Relational database thông thường,File văn bản CSV không nén,Không định dạng timestamp chính xác,"Time Series Database (TSDB) hoặc định dạng columnar, hỗ trợ nén và xử lý hiệu quả"
"Nếu dữ liệu chuỗi thời gian từ nhiều cảm biến tương quan với nhau được nhóm lại và nén (multi-series group compression), lợi ích nào có thể có được?","Giảm dung lượng lưu trữ, tăng tốc truy vấn",Tăng chi phí tính toán,Giảm độ chính xác vì mất thông tin chi tiết,Không ảnh hưởng vì các chuỗi không liên quan
Thành phần nào trong kiến trúc 5G cho phép chia mạng thành nhiều “lát” phục vụ các dịch vụ khác nhau?,RAN truyền thống,Network Slicing trong 5G Core,Beamforming,MIMO
